ID_Porcentajes,Copia de residential_percent_change_from_baseline,Copia de workplaces_percent_change_from_baseline,Copia de transit_stations_percent_change_from_baseline,Copia de parks_percent_change_from_baseline,Copia de grocery_and_pharmacy_percent_change_from_baseline,Copia de retail_and_recreation_percent_change_from_baseline,ErrorCode,ErrorColumn
SVSV-AH2020-07-04-353.85196,0,-28,-47,-63,-35,-51,-1071607685,0
SVSV-AH2020-07-05-270.17044,0,-29,-57,-70,0,-59,-1071607685,0
SVSV-AH2020-07-06-161.87186,0,-40,-47,-48,-30,-36,-1071607685,0
SVSV-AH2020-07-07-154.44815,0,-39,-48,-46,-26,-36,-1071607685,0
SVSV-AH2020-07-08-81.038208,0,-41,0,-46,-29,-41,-1071607685,0
SVSV-AH2020-07-09-92.262756,0,-41,-53,-41,0,-39,-1071607685,0
SVSV-AH2020-07-10-144.48376,0,-39,0,-58,-46,-48,-1071607685,0
SVSV-AH2020-07-11-354.92871,0,-25,-44,-60,-32,-49,-1071607685,0
SVSV-AH2020-07-12-313.4025,0,-24,-59,-66,0,-57,-1071607685,0
SVSV-AH2020-07-13-159.80138,0,-39,-44,-46,-33,-34,-1071607685,0
SVSV-AH2020-07-14-152.13539,0,-41,-44,-49,-27,-38,-1071607685,0
SVSV-AH2020-07-15-81.912445,0,-38,0,-51,-22,-37,-1071607685,0
SVSV-AH2020-07-16-76.759789,0,-41,0,-50,-24,-37,-1071607685,0
SVSV-AH2020-07-17-106.81071,0,-36,0,-53,-31,-39,-1071607685,0
SVSV-AH2020-07-18-327.96503,0,-26,-44,-60,-31,-47,-1071607685,0
SVSV-AH2020-07-19-244.51831,0,-26,-43,-65,0,-56,-1071607685,0
SVSV-AH2020-07-20-72.241882,0,-39,0,-47,-26,-32,-1071607685,0
SVSV-AH2020-07-21-134.91461,0,-38,-40,-44,-25,-34,-1071607685,0
SVSV-AH2020-07-22-70.669563,0,-38,0,-44,-20,-39,-1071607685,0
SVSV-AH2020-07-23-67.382065,0,-40,0,-45,-18,-40,-1071607685,0
SVSV-AH2020-07-24-101.34131,0,-33,0,-48,-30,-37,-1071607685,0
SVSV-AH2020-07-25-314.69165,0,-25,-41,-56,-30,-47,-1071607685,0
SVSV-AH2020-07-26-261.89896,0,-25,-46,-65,0,-56,-1071607685,0
SVSV-AH2020-07-27-87.310959,0,-37,0,-48,-29,-36,-1071607685,0
SVSV-AH2020-07-28-75.725471,0,-37,0,-41,-28,-38,-1071607685,0
SVSV-AH2020-07-29-67.386154,0,-37,0,-43,-22,-34,-1071607685,0
SVSV-AH2020-07-30-39.964535,0,-40,0,-43,0,-36,-1071607685,0
SVSV-AH2020-07-31-89.313766,0,-32,0,-45,-25,-36,-1071607685,0
SVSV-AH2020-08-01-273.38126,0,-21,-29,-54,-22,-43,-1071607685,0
SVSV-AH2020-08-02-222.96803,0,-25,-46,-62,0,-49,-1071607685,0
SVSV-AH2020-08-03-40.661591,0,-40,0,-35,-18,-27,-1071607685,0
SVSV-AH2020-08-04-26.023417,0,-40,0,-36,0,-28,-1071607685,0
SVSV-AH2020-08-05-35.807098,0,-45,0,-29,-23,-31,-1071607685,0
SVSV-AH2020-08-06-21.455767,0,-53,0,-30,0,-37,-1071607685,0
SVSV-AH2020-08-07-63.288616,0,-35,0,-35,-28,-33,-1071607685,0
SVSV-AH2020-08-08-323.90704,0,-22,-45,-47,-29,-44,-1071607685,0
SVSV-AH2020-08-09-247.95293,0,-25,-52,-55,0,-55,-1071607685,0
SVSV-AH2020-08-10-76.397095,0,-37,0,-42,-31,-34,-1071607685,0
SVSV-AH2020-08-11-61.149853,0,-36,0,-36,-25,-34,-1071607685,0
SVSV-AH2020-08-12-61.668072,0,-36,0,-34,-26,-37,-1071607685,0
SVSV-AH2020-08-13-64.680618,0,-38,0,-36,-29,-37,-1071607685,0
SVSV-AH2020-08-14-107.0143,0,-31,0,-43,-32,-42,-1071607685,0
SVSV-AH2020-08-15-215.72903,0,-22,-27,-44,-20,-43,-1071607685,0
SVSV-AH2020-08-16-151.96501,0,-19,0,-55,0,-49,-1071607685,0
SVSV-AH2020-08-17-0,0,-35,0,0,0,0,-1071607685,0
SVSV-AH2020-08-18-0,0,-31,0,0,0,0,-1071607685,0
SVSV-AH2020-08-19-0,0,-36,0,0,0,0,-1071607685,0
SVSV-AH2020-08-20-0,0,-35,0,0,0,0,-1071607685,0
SVSV-AH2020-08-21-0,0,-31,0,0,0,0,-1071607685,0
SVSV-AH2020-08-22-0,0,-19,0,0,0,0,-1071607685,0
SVSV-AH2020-08-23-0,0,-21,0,0,0,0,-1071607685,0
SVSV-AH2020-08-24-0,0,-33,0,0,0,0,-1071607685,0
SVSV-AH2020-08-25-0,0,-35,0,0,0,0,-1071607685,0
SVSV-AH2020-08-26-0,0,-33,0,0,0,0,-1071607685,0
SVSV-AH2020-08-27-0,0,-35,0,0,0,0,-1071607685,0
SVSV-AH2020-08-28-0,0,-31,0,0,0,0,-1071607685,0
