ID_Porcentajes,Copia de residential_percent_change_from_baseline,Copia de workplaces_percent_change_from_baseline,Copia de transit_stations_percent_change_from_baseline,Copia de parks_percent_change_from_baseline,Copia de grocery_and_pharmacy_percent_change_from_baseline,Copia de retail_and_recreation_percent_change_from_baseline,ErrorCode,ErrorColumn
SVSV-CU2020-08-29-0,0,-24,0,0,0,0,-1071607685,0
SVSV-CU2020-08-30-0,0,-9,0,0,0,0,-1071607685,0
SVSV-CU2020-08-31-0,0,-34,0,0,0,0,-1071607685,0
SVSV-CU2020-09-01-0,0,-35,0,0,0,0,-1071607685,0
SVSV-CU2020-09-02-0,0,-36,0,0,0,0,-1071607685,0
SVSV-CU2020-09-03-0,0,-38,0,0,0,0,-1071607685,0
SVSV-CU2020-09-04-0,0,-30,0,0,0,0,-1071607685,0
SVSV-CU2020-09-05-0,0,-24,0,0,0,0,-1071607685,0
SVSV-CU2020-09-06-0,0,-15,0,0,0,0,-1071607685,0
SVSV-CU2020-09-07-0,0,-34,0,0,0,0,-1071607685,0
SVSV-CU2020-09-08-0,0,-37,0,0,0,0,-1071607685,0
SVSV-CU2020-09-09-0,0,-35,0,0,0,0,-1071607685,0
SVSV-CU2020-09-10-0,0,-36,0,0,0,0,-1071607685,0
SVSV-CU2020-09-11-0,0,-31,0,0,0,0,-1071607685,0
SVSV-CU2020-09-12-0,0,-25,0,0,0,0,-1071607685,0
SVSV-CU2020-09-13-0,0,-15,0,0,0,0,-1071607685,0
SVSV-CU2020-09-14-0,0,-31,0,0,0,0,-1071607685,0
SVSV-CU2020-09-15-0,0,-54,0,0,0,0,-1071607685,0
SVSV-CU2020-09-16-0,0,-33,0,0,0,0,-1071607685,0
SVSV-CU2020-09-17-0,0,-35,0,0,0,0,-1071607685,0
SVSV-CU2020-09-18-0,0,-28,0,0,0,0,-1071607685,0
SVSV-CU2020-09-19-0,0,-23,0,0,0,0,-1071607685,0
SVSV-CU2020-09-20-0,0,-13,0,0,0,0,-1071607685,0
SVSV-CU2020-09-21-0,0,-32,0,0,0,0,-1071607685,0
SVSV-CU2020-09-22-0,0,-35,0,0,0,0,-1071607685,0
SVSV-CU2020-09-23-0,14,-35,0,0,0,0,-1071607685,0
SVSV-CU2020-09-24-0,14,-37,0,0,0,0,-1071607685,0
SVSV-CU2020-09-25-0,13,-30,0,0,0,0,-1071607685,0
SVSV-CU2020-09-26-0,0,-24,0,0,0,0,-1071607685,0
SVSV-CU2020-09-27-0,0,-17,0,0,0,0,-1071607685,0
SVSV-LI2020-02-1520.210335,-1,3,1,5,5,6,-1071607685,0
SVSV-LI2020-02-16-135.5136,-1,0,-3,0,7,5,-1071607685,0
SVSV-LI2020-02-171.1721526,0,3,4,1,2,-1,-1071607685,0
SVSV-LI2020-02-18-0.46886107,0,3,1,0,-1,-1,-1071607685,0
SVSV-LI2020-02-190.93772215,0,3,3,-4,-1,-3,-1071607685,0
SVSV-LI2020-02-20-0,-1,2,2,-2,0,-3,-1071607685,0
SVSV-LI2020-02-210.31920043,-1,6,1,-3,1,-2,-1071607685,0
SVSV-LI2020-02-22-3.7508886,0,3,5,-1,-2,-2,-1071607685,0
SVSV-LI2020-02-23-1.5802082,0,0,0,2,1,-2,-1071607685,0
SVSV-LI2020-02-244.2197495,0,3,-3,0,-2,-4,-1071607685,0
SVSV-LI2020-02-252.7559547,-1,3,-1,-2,-1,-2,-1071607685,0
SVSV-LI2020-02-26-8.4394989,0,3,5,-1,-4,-5,-1071607685,0
SVSV-LI2020-02-279.1865158,0,2,-3,-2,-2,-4,-1071607685,0
SVSV-LI2020-02-28-2.6587381,-2,6,0,-2,5,2,-1071607685,0
SVSV-LI2020-02-2911.491215,-2,7,5,3,4,5,-1071607685,0
SVSV-LI2020-03-0152.746868,-1,4,8,7,9,6,-1071607685,0
SVSV-LI2020-03-0258.492237,-1,5,23,5,7,4,-1071607685,0
SVSV-LI2020-03-038.4394989,-1,4,5,1,4,2,-1071607685,0
SVSV-LI2020-03-04-0.75963944,0,4,2,-4,3,-1,-1071607685,0
SVSV-LI2020-03-05-0,-1,4,0,0,1,-4,-1071607685,0
SVSV-LI2020-03-06-4.2343888,-1,8,7,0,-1,-4,-1071607685,0
SVSV-LI2020-03-07-6.3840084,0,5,7,1,-2,-3,-1071607685,0
SVSV-LI2020-03-08-0,1,1,-1,-2,2,-2,-1071607685,0
SVSV-LI2020-03-09-2.8728037,0,5,3,0,-2,-4,-1071607685,0
SVSV-LI2020-03-100.70329159,-1,4,1,-4,2,-3,-1071607685,0
SVSV-LI2020-03-115.7456074,0,5,2,0,21,-3,-1071607685,0
SVSV-LI2020-03-1211.851562,5,-5,-9,-6,9,-10,-1071607685,0
SVSV-LI2020-03-13-23.443052,5,-2,-9,-11,15,-10,-1071607685,0
SVSV-LI2020-03-1419.268736,6,0,-3,-11,6,-16,-1071607685,0
SVSV-LI2020-03-15258.2774,7,-3,-15,-25,-4,-30,-1071607685,0
SVSV-LI2020-03-16244.93227,9,-9,-14,-17,9,-19,-1071607685,0
SVSV-LI2020-03-17-257.07327,12,-17,-21,-27,8,-28,-1071607685,0
SVSV-LI2020-03-18-499.54123,15,-21,-22,-33,-5,-38,-1071607685,0
SVSV-LI2020-03-19-275.75043,21,-33,-36,-38,4,-44,-1071607685,0
SVSV-LI2020-03-20-513.45734,27,-42,-39,-47,-22,-60,-1071607685,0
SVSV-LI2020-03-21-698.97766,22,-37,-46,-54,-31,-65,-1071607685,0
SVSV-LI2020-03-22-927.79535,26,-54,-74,-82,-71,-88,-1071607685,0
SVSV-LI2020-03-23-676.74213,39,-68,-65,-72,-56,-81,-1071607685,0
SVSV-LI2020-03-24-651.45361,39,-71,-66,-75,-59,-83,-1071607685,0
SVSV-LI2020-03-25-654.46204,40,-71,-66,-74,-57,-82,-1071607685,0
SVSV-LI2020-03-26-649.24921,40,-71,-68,-75,-54,-81,-1071607685,0
SVSV-LI2020-03-27-666.18427,40,-68,-65,-72,-51,-79,-1071607685,0
SVSV-LI2020-03-28-721.58978,32,-63,-68,-76,-65,-84,-1071607685,0
SVSV-LI2020-03-29-926.77704,26,-53,-69,-81,-72,-87,-1071607685,0
SVSV-LI2020-03-30-543.73956,38,-68,-58,-66,-51,-75,-1071607685,0
SVSV-LI2020-03-31-525.18396,37,-68,-59,-69,-48,-74,-1071607685,0
SVSV-LI2020-04-01-516.97791,37,-68,-58,-68,-47,-75,-1071607685,0
SVSV-LI2020-04-02-533.89441,38,-69,-60,-67,-49,-76,-1071607685,0
SVSV-LI2020-04-03-656.67108,40,-67,-59,-70,-53,-78,-1071607685,0
SVSV-LI2020-04-04-759.47253,33,-61,-66,-75,-62,-82,-1071607685,0
SVSV-LI2020-04-05-927.69794,26,-52,-69,-80,-69,-85,-1071607685,0
SVSV-LI2020-04-06-524.10095,38,-71,-63,-69,-51,-75,-1071607685,0
SVSV-LI2020-04-07-560.43774,39,-74,-64,-73,-58,-80,-1071607685,0
SVSV-LI2020-04-08-552.25616,41,-76,-65,-73,-55,-80,-1071607685,0
SVSV-LI2020-04-09-572.55536,44,-83,-72,-77,-61,-84,-1071607685,0
SVSV-LI2020-04-10-714.31793,49,-87,-77,-83,-75,-89,-1071607685,0
SVSV-LI2020-04-11-701.19666,37,-75,-77,-82,-74,-88,-1071607685,0
SVSV-LI2020-04-12-863.2179,27,-57,-72,-84,-72,-87,-1071607685,0
SVSV-LI2020-04-13-634.22363,40,-70,-64,-72,-56,-78,-1071607685,0
SVSV-LI2020-04-14-620.16382,39,-69,-63,-72,-54,-78,-1071607685,0
SVSV-LI2020-04-15-581.51727,38,-67,-57,-71,-50,-76,-1071607685,0
SVSV-LI2020-04-16-552.19635,38,-68,-60,-69,-47,-76,-1071607685,0
SVSV-LI2020-04-17-690.30768,40,-65,-59,-69,-51,-77,-1071607685,0
SVSV-LI2020-04-18-770.17035,33,-61,-66,-76,-63,-82,-1071607685,0
SVSV-LI2020-04-19-898.05829,26,-54,-69,-82,-72,-87,-1071607685,0
SVSV-LI2020-04-20-612.80725,38,-66,-58,-71,-52,-75,-1071607685,0
SVSV-LI2020-04-21-579.09796,38,-68,-58,-72,-52,-76,-1071607685,0
SVSV-LI2020-04-22-590.71161,38,-67,-57,-72,-51,-76,-1071607685,0
SVSV-LI2020-04-23-600.01416,38,-67,-58,-71,-53,-76,-1071607685,0
SVSV-LI2020-04-24-668.90411,39,-64,-57,-69,-50,-76,-1071607685,0
SVSV-LI2020-04-25-745.15204,32,-59,-61,-75,-61,-80,-1071607685,0
SVSV-LI2020-04-26-915.24561,26,-52,-66,-81,-70,-84,-1071607685,0
SVSV-LI2020-04-27-578.21564,37,-64,-53,-67,-51,-73,-1071607685,0
SVSV-LI2020-04-28-461.36136,32,-65,-52,-69,-49,-72,-1071607685,0
SVSV-LI2020-04-29-554.90045,37,-64,-52,-67,-48,-72,-1071607685,0
SVSV-LI2020-04-30-460.26938,35,-63,-52,-63,-40,-67,-1071607685,0
SVSV-LI2020-05-01-560.37848,45,-80,-66,-73,-56,-80,-1071607685,0
SVSV-LI2020-05-02-668.73553,30,-55,-55,-69,-53,-75,-1071607685,0
SVSV-LI2020-05-03-886.54413,24,-48,-61,-78,-64,-81,-1071607685,0
SVSV-LI2020-05-04-502.37839,35,-61,-50,-64,-42,-67,-1071607685,0
SVSV-LI2020-05-05-493.74692,35,-63,-54,-66,-41,-69,-1071607685,0
SVSV-LI2020-05-06-443.81116,35,-63,-50,-63,-37,-68,-1071607685,0
SVSV-LI2020-05-07-786.96875,41,-72,-71,-79,-69,-87,-1071607685,0
SVSV-LI2020-05-08-909.01868,43,-70,-71,-78,-70,-87,-1071607685,0
SVSV-LI2020-05-09-835.23743,34,-64,-70,-80,-73,-87,-1071607685,0
SVSV-LI2020-05-10-845.40717,24,-51,-68,-79,-65,-83,-1071607685,0
SVSV-LI2020-05-11-681.68188,40,-69,-65,-73,-56,-81,-1071607685,0
SVSV-LI2020-05-12-692.33069,39,-70,-66,-75,-63,-83,-1071607685,0
SVSV-LI2020-05-13-731.72815,40,-69,-63,-76,-63,-83,-1071607685,0
SVSV-LI2020-05-14-594.76678,37,-68,-63,-72,-52,-79,-1071607685,0
SVSV-LI2020-05-15-704.40515,40,-66,-59,-72,-53,-80,-1071607685,0
SVSV-LI2020-05-16-806.93958,33,-61,-64,-77,-68,-85,-1071607685,0
SVSV-LI2020-05-17-1041.2092,26,-49,-65,-81,-69,-86,-1071607685,0
SVSV-LI2020-05-18-627.05859,38,-66,-60,-72,-50,-77,-1071607685,0
SVSV-LI2020-05-19-561.17517,37,-67,-58,-71,-48,-77,-1071607685,0
SVSV-LI2020-05-20-656.68341,38,-66,-61,-71,-54,-79,-1071607685,0
SVSV-LI2020-05-21-628.21027,38,-67,-60,-71,-54,-79,-1071607685,0
SVSV-LI2020-05-22-674.21283,39,-64,-56,-70,-49,-78,-1071607685,0
SVSV-LI2020-05-23-777.77588,31,-56,-57,-73,-60,-82,-1071607685,0
SVSV-LI2020-05-24-991.28821,25,-48,-60,-79,-70,-85,-1071607685,0
SVSV-LI2020-05-25-661.29529,38,-65,-56,-71,-56,-78,-1071607685,0
SVSV-LI2020-05-26-570.27771,36,-64,-56,-70,-46,-75,-1071607685,0
SVSV-LI2020-05-27-559.52466,36,-63,-52,-69,-44,-75,-1071607685,0
SVSV-LI2020-05-28-579.32971,36,-64,-54,-67,-51,-77,-1071607685,0
SVSV-LI2020-05-29-735.70197,38,-61,-54,-69,-52,-78,-1071607685,0
SVSV-LI2020-05-30-802.00232,30,-55,-60,-75,-60,-81,-1071607685,0
SVSV-LI2020-05-31-927.1319,24,-50,-67,-80,-70,-86,-1071607685,0
SVSV-LI2020-06-01-570.82721,38,-70,-59,-70,-58,-78,-1071607685,0
SVSV-LI2020-06-02-545.35272,36,-65,-54,-67,-50,-75,-1071607685,0
SVSV-LI2020-06-03-512.03796,36,-64,-51,-66,-44,-73,-1071607685,0
SVSV-LI2020-06-04-519.17578,36,-65,-55,-66,-45,-74,-1071607685,0
SVSV-LI2020-06-05-700.75665,39,-64,-58,-68,-54,-78,-1071607685,0
SVSV-LI2020-06-06-880.44476,30,-51,-55,-70,-60,-79,-1071607685,0
SVSV-LI2020-06-07-1378.1628,23,-37,-58,-72,-56,-79,-1071607685,0
SVSV-LI2020-06-08-562.05469,34,-59,-53,-62,-45,-71,-1071607685,0
SVSV-LI2020-06-09-581.82257,34,-60,-53,-64,-50,-73,-1071607685,0
SVSV-LI2020-06-10-586.28119,34,-59,-52,-63,-49,-72,-1071607685,0
SVSV-LI2020-06-11-507.10864,33,-59,-53,-60,-41,-70,-1071607685,0
SVSV-LI2020-06-12-594.18323,34,-56,-49,-61,-41,-71,-1071607685,0
SVSV-LI2020-06-13-919.66553,27,-45,-49,-65,-58,-77,-1071607685,0
SVSV-LI2020-06-14-1930.7688,22,-32,-53,-71,-58,-78,-1071607685,0
SVSV-LI2020-06-15-380.08212,30,-55,-39,-54,-35,-62,-1071607685,0
SVSV-LI2020-06-16-242.51637,26,-53,-35,-44,-25,-54,-1071607685,0
SVSV-LI2020-06-17-283.40826,35,-71,-50,-57,-32,-60,-1071607685,0
SVSV-LI2020-06-18-420.6297,29,-55,-47,-55,-38,-64,-1071607685,0
SVSV-LI2020-06-19-421.74078,28,-52,-48,-54,-32,-62,-1071607685,0
SVSV-LI2020-06-20-763.48749,23,-38,-43,-55,-42,-65,-1071607685,0
SVSV-LI2020-06-21-1479.2983,20,-31,-54,-66,-49,-71,-1071607685,0
SVSV-LI2020-06-22-327.47986,28,-54,-41,-49,-33,-57,-1071607685,0
SVSV-LI2020-06-23-349.02887,29,-55,-44,-53,-31,-58,-1071607685,0
SVSV-LI2020-06-24-348.73514,29,-54,-39,-50,-34,-59,-1071607685,0
SVSV-LI2020-06-25-337.99158,28,-54,-45,-50,-29,-59,-1071607685,0
SVSV-LI2020-06-26-447.54465,30,-51,-43,-53,-31,-61,-1071607685,0
SVSV-LI2020-06-27-595.70325,23,-40,-40,-51,-40,-63,-1071607685,0
SVSV-LI2020-06-28-1769.7687,20,-29,-52,-64,-48,-70,-1071607685,0
SVSV-LI2020-06-29-380.39365,28,-52,-42,-50,-36,-58,-1071607685,0
SVSV-LI2020-06-30-301.68579,27,-53,-42,-49,-27,-55,-1071607685,0
SVSV-LI2020-07-01-331.83273,29,-53,-41,-51,-26,-56,-1071607685,0
SVSV-LI2020-07-02-352.23218,29,-54,-44,-51,-29,-59,-1071607685,0
SVSV-LI2020-07-03-399.38568,30,-52,-41,-50,-31,-60,-1071607685,0
SVSV-LI2020-07-04-749.65356,24,-39,-43,-56,-41,-63,-1071607685,0
SVSV-LI2020-07-05-1117.0629,20,-33,-50,-63,-47,-69,-1071607685,0
SVSV-LI2020-07-06-396.80054,29,-53,-44,-53,-35,-58,-1071607685,0
SVSV-LI2020-07-07-360.79388,29,-55,-44,-53,-33,-59,-1071607685,0
SVSV-LI2020-07-08-418.04593,30,-54,-46,-53,-36,-60,-1071607685,0
SVSV-LI2020-07-09-425.29086,29,-54,-47,-56,-36,-62,-1071607685,0
SVSV-LI2020-07-10-579.95337,32,-53,-50,-59,-40,-65,-1071607685,0
SVSV-LI2020-07-11-704.94812,23,-38,-41,-53,-41,-62,-1071607685,0
SVSV-LI2020-07-12-1011.1239,19,-33,-49,-62,-48,-68,-1071607685,0
SVSV-LI2020-07-13-401.0672,29,-53,-45,-52,-36,-58,-1071607685,0
SVSV-LI2020-07-14-345.83493,28,-54,-41,-53,-33,-58,-1071607685,0
SVSV-LI2020-07-15-339.92624,28,-52,-41,-51,-28,-56,-1071607685,0
SVSV-LI2020-07-16-331.83273,28,-52,-42,-50,-26,-56,-1071607685,0
SVSV-LI2020-07-17-401.33078,29,-50,-40,-50,-29,-59,-1071607685,0
SVSV-LI2020-07-18-641.53046,22,-37,-39,-50,-38,-61,-1071607685,0
SVSV-LI2020-07-19-1074.6814,18,-30,-45,-58,-46,-66,-1071607685,0
SVSV-LI2020-07-20-376.34689,28,-52,-40,-52,-36,-57,-1071607685,0
SVSV-LI2020-07-21-372.24539,28,-53,-43,-52,-35,-58,-1071607685,0
SVSV-LI2020-07-22-372.68204,28,-51,-38,-52,-32,-58,-1071607685,0
SVSV-LI2020-07-23-385.19681,28,-51,-42,-50,-33,-58,-1071607685,0
SVSV-LI2020-07-24-413.35846,28,-48,-40,-48,-30,-58,-1071607685,0
SVSV-LI2020-07-25-667.48627,22,-36,-37,-48,-40,-60,-1071607685,0
SVSV-LI2020-07-26-1043.38,18,-30,-44,-56,-47,-65,-1071607685,0
SVSV-LI2020-07-27-360.35132,27,-50,-39,-50,-33,-55,-1071607685,0
SVSV-LI2020-07-28-364.20667,27,-51,-41,-51,-34,-56,-1071607685,0
SVSV-LI2020-07-29-340.29092,27,-50,-38,-48,-30,-56,-1071607685,0
SVSV-LI2020-07-30-271.04367,26,-50,-34,-44,-25,-54,-1071607685,0
SVSV-LI2020-07-31-311.63943,25,-46,-38,-44,-22,-53,-1071607685,0
SVSV-LI2020-08-01-441.15683,18,-33,-31,-42,-29,-54,-1071607685,0
SVSV-LI2020-08-02-809.078,15,-28,-42,-52,-40,-61,-1071607685,0
SVSV-LI2020-08-03-207.03333,27,-58,-39,-42,-26,-50,-1071607685,0
SVSV-LI2020-08-04-180.02499,26,-60,-41,-42,-21,-50,-1071607685,0
SVSV-LI2020-08-05-240.97188,31,-67,-43,-50,-32,-58,-1071607685,0
SVSV-LI2020-08-06-289.92908,34,-77,-53,-57,-43,-67,-1071607685,0
SVSV-LI2020-08-07-301.86398,28,-57,-44,-48,-31,-60,-1071607685,0
SVSV-LI2020-08-08-511.88809,20,-39,-41,-48,-40,-62,-1071607685,0
SVSV-LI2020-08-09-922.07336,16,-30,-45,-58,-48,-66,-1071607685,0
SVSV-LI2020-08-10-341.23547,24,-49,-43,-48,-35,-54,-1071607685,0
SVSV-LI2020-08-11-278.35788,24,-50,-41,-44,-28,-53,-1071607685,0
SVSV-LI2020-08-12-316.96378,25,-48,-42,-41,-29,-54,-1071607685,0
SVSV-LI2020-08-13-340.23413,25,-49,-44,-47,-30,-55,-1071607685,0
SVSV-LI2020-08-14-361.70444,24,-45,-41,-45,-28,-55,-1071607685,0
SVSV-LI2020-08-15-459.84674,17,-30,-33,-38,-25,-51,-1071607685,0
SVSV-LI2020-08-16-849.77472,14,-25,-39,-49,-36,-58,-1071607685,0
SVSV-LI2020-08-17-0,23,-47,0,0,0,0,-1071607685,0
SVSV-LI2020-08-18-0,23,-47,0,0,0,0,-1071607685,0
SVSV-LI2020-08-19-0,24,-46,0,0,0,0,-1071607685,0
SVSV-LI2020-08-20-0,24,-47,0,0,0,0,-1071607685,0
SVSV-LI2020-08-21-0,24,-43,0,0,0,0,-1071607685,0
SVSV-LI2020-08-22-0,18,-31,0,0,0,0,-1071607685,0
SVSV-LI2020-08-23-0,15,-26,0,0,0,0,-1071607685,0
SVSV-LI2020-08-24-0,22,-44,0,0,0,0,-1071607685,0
SVSV-LI2020-08-25-0,22,-45,0,0,0,0,-1071607685,0
SVSV-LI2020-08-26-0,22,-44,0,0,0,0,-1071607685,0
SVSV-LI2020-08-27-0,22,-45,0,0,0,0,-1071607685,0
SVSV-LI2020-08-28-0,21,-41,0,0,0,0,-1071607685,0
SVSV-LI2020-08-29-0,14,-27,0,0,0,0,-1071607685,0
SVSV-LI2020-08-30-0,11,-20,0,0,0,0,-1071607685,0
SVSV-LI2020-08-31-0,19,-43,0,0,0,0,-1071607685,0
SVSV-LI2020-09-01-0,19,-44,0,0,0,0,-1071607685,0
SVSV-LI2020-09-02-0,20,-43,0,0,0,0,-1071607685,0
SVSV-LI2020-09-03-0,21,-44,0,0,0,0,-1071607685,0
SVSV-LI2020-09-04-0,20,-41,0,0,0,0,-1071607685,0
SVSV-LI2020-09-05-0,13,-28,0,0,0,0,-1071607685,0
SVSV-LI2020-09-06-0,11,-24,0,0,0,0,-1071607685,0
SVSV-LI2020-09-07-0,20,-43,0,0,0,0,-1071607685,0
SVSV-LI2020-09-08-0,20,-44,0,0,0,0,-1071607685,0
SVSV-LI2020-09-09-0,20,-43,0,0,0,0,-1071607685,0
SVSV-LI2020-09-10-0,19,-43,0,0,0,0,-1071607685,0
SVSV-LI2020-09-11-0,19,-40,0,0,0,0,-1071607685,0
SVSV-LI2020-09-12-0,12,-27,0,0,0,0,-1071607685,0
SVSV-LI2020-09-13-0,9,-22,0,0,0,0,-1071607685,0
SVSV-LI2020-09-14-0,17,-41,0,0,0,0,-1071607685,0
SVSV-LI2020-09-15-0,27,-72,0,0,0,0,-1071607685,0
SVSV-LI2020-09-16-0,18,-40,0,0,0,0,-1071607685,0
SVSV-LI2020-09-17-0,19,-41,0,0,0,0,-1071607685,0
SVSV-LI2020-09-18-0,18,-37,0,0,0,0,-1071607685,0
SVSV-LI2020-09-19-0,12,-26,0,0,0,0,-1071607685,0
SVSV-LI2020-09-20-0,9,-21,0,0,0,0,-1071607685,0
SVSV-LI2020-09-21-0,18,-40,0,0,0,0,-1071607685,0
SVSV-LI2020-09-22-0,17,-41,0,0,0,0,-1071607685,0
SVSV-LI2020-09-23-0,18,-40,0,0,0,0,-1071607685,0
SVSV-LI2020-09-24-0,19,-40,0,0,0,0,-1071607685,0
SVSV-LI2020-09-25-0,18,-37,0,0,0,0,-1071607685,0
SVSV-LI2020-09-26-0,11,-24,0,0,0,0,-1071607685,0
SVSV-LI2020-09-27-0,9,-20,0,0,0,0,-1071607685,0
SVSV-MO2020-02-15-0,0,8,0,-11,0,0,-1071607685,0
SVSV-MO2020-02-16-0,0,2,0,-10,0,0,-1071607685,0
SVSV-MO2020-02-17-0,0,9,0,-2,0,0,-1071607685,0
SVSV-MO2020-02-18-0,0,7,0,-11,0,0,-1071607685,0
SVSV-MO2020-02-19-0,0,7,0,-11,0,0,-1071607685,0
SVSV-MO2020-02-20-0,0,7,0,-4,0,0,-1071607685,0
SVSV-MO2020-02-210,0,18,0,0,0,0,-1071607685,0
SVSV-MO2020-02-22-0,0,2,0,-18,0,0,-1071607685,0
SVSV-MO2020-02-23-0,0,0,0,-16,0,0,-1071607685,0
SVSV-MO2020-02-24-0,0,5,0,-8,0,0,-1071607685,0
SVSV-MO2020-02-25-0,0,6,0,-4,0,0,-1071607685,0
SVSV-MO2020-02-26-0,0,7,0,-6,0,0,-1071607685,0
SVSV-MO2020-02-27-0,0,3,0,-9,0,0,-1071607685,0
SVSV-MO2020-02-28-0,0,14,0,-1,0,0,-1071607685,0
SVSV-MO2020-02-29-0,0,5,0,-26,0,0,-1071607685,0
SVSV-MO2020-03-01-0,0,10,0,-16,0,0,-1071607685,0
SVSV-MO2020-03-02-0,0,4,0,-18,0,0,-1071607685,0
SVSV-MO2020-03-03-0,0,7,0,-10,0,0,-1071607685,0
SVSV-MO2020-03-04-0,0,2,0,-4,0,0,-1071607685,0
SVSV-MO2020-03-05-0,0,7,0,-7,0,0,-1071607685,0
SVSV-MO2020-03-06-0,0,12,0,-10,0,0,-1071607685,0
SVSV-MO2020-03-07-0,0,2,0,-24,0,0,-1071607685,0
SVSV-MO2020-03-08-0,0,0,0,-22,0,0,-1071607685,0
SVSV-MO2020-03-09-0,0,1,0,-10,0,0,-1071607685,0
SVSV-MO2020-03-10-0,0,1,0,-14,0,0,-1071607685,0
SVSV-MO2020-03-11-0,0,4,0,-18,0,0,-1071607685,0
SVSV-MO2020-03-120,0,-13,0,-9,0,0,-1071607685,0
SVSV-MO2020-03-130,0,-5,0,-4,0,0,-1071607685,0
SVSV-MO2020-03-140,0,-2,0,-25,0,0,-1071607685,0
SVSV-MO2020-03-150,0,-2,0,-28,0,0,-1071607685,0
SVSV-MO2020-03-160,0,-10,0,-19,0,0,-1071607685,0
SVSV-MO2020-03-170,0,-16,0,-12,0,0,-1071607685,0
SVSV-MO2020-03-180,0,-15,0,-23,0,0,-1071607685,0
SVSV-MO2020-03-190,0,-29,0,-27,0,0,-1071607685,0
SVSV-MO2020-03-200,0,-29,0,-34,0,0,-1071607685,0
SVSV-MO2020-03-210,0,-21,0,-46,0,0,-1071607685,0
SVSV-MO2020-03-220,0,-45,0,-67,0,0,-1071607685,0
SVSV-MO2020-03-230,0,-55,0,-54,0,0,-1071607685,0
SVSV-MO2020-03-240,0,-62,0,-62,0,0,-1071607685,0
SVSV-MO2020-03-250,0,-58,0,-60,0,0,-1071607685,0
SVSV-MO2020-03-260,0,-60,0,-55,0,0,-1071607685,0
SVSV-MO2020-03-270,0,-51,0,-60,0,0,-1071607685,0
SVSV-MO2020-03-280,0,-44,0,-61,0,0,-1071607685,0
SVSV-MO2020-03-290,0,-41,0,-67,0,0,-1071607685,0
SVSV-MO2020-03-300,0,-54,0,-52,0,0,-1071607685,0
SVSV-MO2020-03-310,0,-52,0,-53,0,0,-1071607685,0
SVSV-MO2020-04-010,0,-54,0,-54,0,0,-1071607685,0
SVSV-MO2020-04-020,0,-52,0,-52,0,0,-1071607685,0
SVSV-MO2020-04-030,0,-48,0,-54,0,0,-1071607685,0
SVSV-MO2020-04-040,0,-39,0,-62,0,0,-1071607685,0
SVSV-MO2020-04-050,0,-41,0,-69,0,0,-1071607685,0
SVSV-MO2020-04-060,0,-54,0,-48,0,0,-1071607685,0
SVSV-MO2020-04-070,0,-57,0,-59,0,0,-1071607685,0
SVSV-MO2020-04-080,0,-60,0,-65,0,0,-1071607685,0
SVSV-MO2020-04-090,0,-67,0,-64,0,0,-1071607685,0
SVSV-MO2020-04-100,0,-64,0,-71,0,0,-1071607685,0
SVSV-MO2020-04-110,0,-54,0,-68,0,0,-1071607685,0
SVSV-MO2020-04-120,0,-43,0,-71,0,0,-1071607685,0
SVSV-MO2020-04-130,0,-55,0,-58,0,0,-1071607685,0
SVSV-MO2020-04-140,0,-54,0,-54,0,0,-1071607685,0
SVSV-MO2020-04-150,0,-53,0,-58,0,0,-1071607685,0
SVSV-MO2020-04-160,0,-53,0,-54,0,0,-1071607685,0
SVSV-MO2020-04-170,0,-46,0,-53,0,0,-1071607685,0
SVSV-MO2020-04-180,0,-45,0,-64,0,0,-1071607685,0
SVSV-MO2020-04-190,0,-41,0,-68,0,0,-1071607685,0
SVSV-MO2020-04-200,0,-56,0,-45,0,0,-1071607685,0
SVSV-MO2020-04-210,0,-55,0,-53,0,0,-1071607685,0
SVSV-MO2020-04-220,0,-53,0,-56,0,0,-1071607685,0
SVSV-MO2020-04-230,0,-57,0,-52,0,0,-1071607685,0
SVSV-MO2020-04-240,0,-42,0,-50,0,0,-1071607685,0
SVSV-MO2020-04-250,0,-47,0,-65,0,0,-1071607685,0
SVSV-MO2020-04-260,0,-48,0,-71,0,0,-1071607685,0
SVSV-MO2020-04-270,0,-50,0,-50,0,0,-1071607685,0
SVSV-MO2020-04-280,0,-52,0,-54,0,0,-1071607685,0
SVSV-MO2020-04-290,0,-49,0,-52,0,0,-1071607685,0
SVSV-MO2020-04-300,0,-49,0,-50,0,0,-1071607685,0
SVSV-MO2020-05-010,0,-56,0,-57,0,0,-1071607685,0
SVSV-MO2020-05-020,0,-42,0,-59,0,0,-1071607685,0
SVSV-MO2020-05-030,0,-41,0,-68,0,0,-1071607685,0
SVSV-MO2020-05-040,0,-49,0,-53,0,0,-1071607685,0
SVSV-MO2020-05-050,0,-49,0,-47,0,0,-1071607685,0
SVSV-MO2020-05-060,0,-50,0,-50,0,0,-1071607685,0
SVSV-MO2020-05-070,0,-59,0,-57,0,0,-1071607685,0
SVSV-MO2020-05-080,0,-54,0,-61,0,0,-1071607685,0
SVSV-MO2020-05-090,0,-45,0,-69,0,0,-1071607685,0
SVSV-MO2020-05-100,0,-37,0,-66,0,0,-1071607685,0
SVSV-MO2020-05-110,0,-54,0,-58,0,0,-1071607685,0
